Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,3627,67
Armidale Regional,0,0,2009,65
Ballina,0,0,3044,68
Balranald,0,0,78,33
Bathurst Regional,0,0,3730,86
Bayside,24,0,35761,200
Bega Valley,0,0,1959,57
Bellingen,0,0,788,61
Berrigan,0,0,226,26
Blacktown,5,1,43897,117
Bland,0,0,278,47
Blayney,0,0,573,78
Blue Mountains,0,0,12096,153
Bogan,0,0,96,37
Bourke,0,0,314,121
Brewarrina,0,0,52,32
Broken Hill,0,0,806,46
Burwood,5,2,5707,141
Byron,0,0,2358,67
Cabonne,0,0,693,51
Camden,7,0,20065,198
Campbelltown,12,0,23656,138
Canada Bay,6,0,19469,203
Canterbury-Bankstown,81,14,50423,133
Carrathool,0,0,77,28
Central Coast,3,0,35735,104
Central Darling,0,0,55,30
Cessnock,0,0,2788,46
Clarence Valley,0,0,1954,38
Cobar,0,0,177,38
Coffs Harbour,0,0,4233,55
Coolamon,0,0,258,59
Coonamble,0,0,214,54
Cootamundra-Gundagai Regional,0,0,677,60
Cowra,0,0,707,55
Cumberland,22,5,34017,141
Dubbo Regional,0,0,4477,83
Dungog,0,0,487,52
Edward River,0,0,254,28
Eurobodalla,0,0,2475,64
Fairfield,175,56,21158,100
Federation,0,0,545,44
Forbes,0,0,498,50
Georges River,31,1,25455,160
Gilgandra,0,0,210,50
Glen Innes Severn,0,0,293,33
Goulburn Mulwaree,0,0,2195,71
Greater Hume Shire,0,0,600,56
Griffith,0,0,2087,77
Gunnedah,0,0,714,56
Gwydir,0,0,147,27
Hawkesbury,3,0,6922,103
Hay,0,0,89,30
Hilltops,0,0,1163,62
Hornsby,3,0,19962,131
Hunters Hill,1,0,5680,379
Inner West,3,1,42087,210
Inverell,0,0,828,49
Junee,0,0,284,42
Kempsey,0,0,1658,56
Kiama,0,0,3213,137
Ku-Ring-Gai,1,0,25978,204
Kyogle,0,0,308,35
Lachlan,0,0,188,31
Lake Macquarie,0,0,20094,98
Lane Cove,0,0,13986,348
Leeton,0,0,553,48
Lismore,0,0,2355,54
Lithgow,0,0,1067,49
Liverpool,44,3,26985,119
Liverpool Plains,0,0,372,47
Lockhart,0,0,157,48
Maitland,0,0,8912,105
Mid-Coast,0,0,4527,48
Mid-Western Regional,0,0,1772,70
Moree Plains,0,0,891,67
Mosman,0,0,5937,192
Murray River,0,0,159,13
Murrumbidgee,0,0,165,42
Muswellbrook,0,0,876,53
Nambucca,0,0,876,44
Narrabri,0,0,487,37
Narrandera,0,0,195,33
Narromine,0,0,388,60
Newcastle,0,0,17833,108
North Sydney,3,0,11979,160
Northern Beaches,0,0,52599,192
Oberon,0,0,299,55
Orange,0,0,4499,106
Parkes,0,0,773,52
Parramatta,15,1,35915,140
Penrith,6,2,23280,109
Port Macquarie-Hastings,0,0,5894,70
Port Stephens,0,0,5519,75
Queanbeyan-Palerang Regional,0,0,3152,52
Randwick,53,3,71761,461
Richmond Valley,0,0,983,42
Ryde,1,0,26344,201
Shellharbour,0,0,8057,110
Shoalhaven,0,0,8486,80
Singleton,0,0,1575,67
Snowy Monaro Regional,0,0,1524,73
Snowy Valleys,0,0,732,51
Strathfield,10,1,10141,216
Sutherland Shire,11,2,41840,181
Sydney,30,5,68318,277
Tamworth Regional,0,0,4919,79
Temora,0,0,192,30
Tenterfield,0,0,132,20
The Hills Shire,13,0,35000,197
Tweed,0,0,4138,43
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,796,56
Upper Lachlan Shire,0,0,531,66
Uralla,0,0,277,46
Wagga Wagga,0,0,5796,89
Walcha,0,0,226,72
Walgett,0,0,232,39
Warren,0,0,263,98
Warrumbungle Shire,0,0,485,52
Waverley,76,10,47064,633
Weddin,0,0,165,46
Wentworth,0,0,333,47
Willoughby,3,0,11388,140
Wingecarribee,0,0,5783,113
Wollondilly,0,0,4011,75
Wollongong,6,0,26863,123
Woollahra,20,1,31633,533
Yass Valley,0,0,756,44
NSW Total**,677,108,1192361,146
