Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,3853,71
Armidale Regional,0,0,2051,67
Ballina,0,0,2972,67
Balranald,0,0,92,39
Bathurst Regional,0,0,4007,92
Bayside,32,0,40093,225
Bega Valley,0,0,2085,60
Bellingen,0,0,832,64
Berrigan,0,0,238,27
Blacktown,10,3,49001,131
Bland,0,0,293,49
Blayney,0,0,594,80
Blue Mountains,0,0,13582,172
Bogan,0,0,99,38
Bourke,0,0,318,123
Brewarrina,0,0,53,33
Broken Hill,0,0,867,50
Burwood,6,2,6267,154
Byron,0,0,2457,70
Cabonne,0,0,691,51
Camden,7,0,23591,233
Campbelltown,11,0,26213,153
Canada Bay,7,0,20797,216
Canterbury-Bankstown,109,23,58822,156
Carrathool,0,0,80,29
Central Coast,3,0,39430,115
Central Darling,0,0,72,39
Cessnock,0,0,3066,51
Clarence Valley,0,0,2058,40
Cobar,0,0,172,37
Coffs Harbour,0,0,4368,57
Coolamon,0,0,273,63
Coonamble,0,0,239,60
Cootamundra-Gundagai Regional,0,0,720,64
Cowra,0,0,689,54
Cumberland,27,7,39122,162
Dubbo Regional,0,0,4308,80
Dungog,0,0,518,55
Edward River,0,0,310,34
Eurobodalla,0,0,2551,66
Fairfield,319,72,32503,154
Federation,0,0,588,47
Forbes,0,0,450,45
Georges River,39,8,29754,187
Gilgandra,0,0,215,51
Glen Innes Severn,0,0,313,35
Goulburn Mulwaree,0,0,2487,80
Greater Hume Shire,0,0,599,56
Griffith,0,0,2207,82
Gunnedah,0,0,724,57
Gwydir,0,0,143,27
Hawkesbury,4,0,8448,126
Hay,0,0,105,36
Hilltops,0,0,1164,62
Hornsby,3,0,21190,139
Hunters Hill,1,0,6092,407
Inner West,4,1,46242,230
Inverell,0,0,824,49
Junee,0,0,301,45
Kempsey,0,0,1686,57
Kiama,0,0,3393,145
Ku-Ring-Gai,1,0,27062,213
Kyogle,0,0,320,36
Lachlan,0,0,203,33
Lake Macquarie,0,0,21278,103
Lane Cove,0,0,14927,372
Leeton,0,0,608,53
Lismore,0,0,2594,59
Lithgow,0,0,1129,52
Liverpool,55,7,32049,141
Liverpool Plains,0,0,374,47
Lockhart,0,0,169,51
Maitland,0,0,9443,111
Mid-Coast,0,0,4758,51
Mid-Western Regional,0,0,1874,74
Moree Plains,0,0,632,48
Mosman,0,0,6338,205
Murray River,0,0,176,15
Murrumbidgee,0,0,180,46
Muswellbrook,0,0,922,56
Nambucca,0,0,931,47
Narrabri,0,0,527,40
Narrandera,0,0,199,34
Narromine,0,0,393,60
Newcastle,0,0,18765,113
North Sydney,3,0,12779,170
Northern Beaches,2,0,55665,204
Oberon,0,0,314,58
Orange,0,0,4806,113
Parkes,0,0,766,52
Parramatta,17,1,39654,154
Penrith,8,2,27301,128
Port Macquarie-Hastings,0,0,6200,73
Port Stephens,0,0,5785,79
Queanbeyan-Palerang Regional,0,0,3375,55
Randwick,54,3,74846,481
Richmond Valley,0,0,1183,50
Ryde,2,0,28330,216
Shellharbour,0,0,9014,123
Shoalhaven,0,0,8955,85
Singleton,0,0,1700,72
Snowy Monaro Regional,0,0,1588,76
Snowy Valleys,0,0,800,55
Strathfield,11,1,10936,233
Sutherland Shire,20,6,48785,212
Sydney,34,6,75213,305
Tamworth Regional,0,0,5160,83
Temora,0,0,217,34
Tenterfield,0,0,145,22
The Hills Shire,15,0,37674,212
Tweed,0,0,4317,45
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,831,59
Upper Lachlan Shire,0,0,554,69
Uralla,0,0,290,48
Wagga Wagga,0,0,6072,93
Walcha,0,0,235,75
Walgett,0,0,260,44
Warren,0,0,264,98
Warrumbungle Shire,0,0,507,55
Waverley,79,4,48438,652
Weddin,0,0,170,47
Wentworth,0,0,377,53
Willoughby,3,0,11954,147
Wingecarribee,0,0,6240,122
Wollondilly,1,1,4379,82
Wollongong,6,0,29311,134
Woollahra,21,1,32803,552
Yass Valley,0,0,773,45
NSW Total**,922,149,1310043,160
