Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,4199,77
Armidale Regional,0,0,2167,70
Ballina,0,0,3036,68
Balranald,0,0,105,45
Bathurst Regional,0,0,4170,96
Bayside,36,2,43515,244
Bega Valley,0,0,2203,64
Bellingen,0,0,851,65
Berrigan,0,0,258,29
Blacktown,19,8,57996,155
Bland,0,0,315,53
Blayney,0,0,611,83
Blue Mountains,1,0,15391,195
Bogan,0,0,108,42
Bourke,0,0,340,131
Brewarrina,0,0,63,39
Broken Hill,0,0,912,52
Burwood,6,2,6723,166
Byron,0,0,2574,73
Cabonne,0,0,717,53
Camden,8,1,28878,285
Campbelltown,13,2,31555,185
Canada Bay,7,0,21623,225
Canterbury-Bankstown,136,27,66829,177
Carrathool,0,0,115,41
Central Coast,3,0,44843,130
Central Darling,0,0,78,42
Cessnock,0,0,3319,55
Clarence Valley,0,0,2219,43
Cobar,0,0,188,40
Coffs Harbour,0,0,4552,59
Coolamon,0,0,292,67
Coonamble,0,0,260,66
Cootamundra-Gundagai Regional,0,0,809,72
Cowra,0,0,748,59
Cumberland,47,13,46749,194
Dubbo Regional,0,0,4371,81
Dungog,0,0,570,60
Edward River,0,0,390,43
Eurobodalla,0,0,2737,71
Fairfield,496,122,67280,318
Federation,0,0,636,51
Forbes,0,0,473,48
Georges River,46,4,33781,212
Gilgandra,0,0,210,50
Glen Innes Severn,0,0,324,37
Goulburn Mulwaree,0,0,3094,99
Greater Hume Shire,0,0,906,84
Griffith,0,0,2257,84
Gunnedah,0,0,779,61
Gwydir,0,0,161,30
Hawkesbury,6,0,11103,165
Hay,0,0,174,59
Hilltops,0,0,1283,69
Hornsby,4,0,22635,149
Hunters Hill,1,0,6290,420
Inner West,6,2,47483,236
Inverell,0,0,842,50
Junee,0,0,300,45
Kempsey,0,0,1861,63
Kiama,0,0,3598,154
Ku-Ring-Gai,1,0,28919,227
Kyogle,0,0,336,38
Lachlan,0,0,223,37
Lake Macquarie,0,0,22930,111
Lane Cove,0,0,15105,376
Leeton,0,0,648,57
Lismore,0,0,2703,62
Lithgow,0,0,1332,62
Liverpool,85,12,40678,179
Liverpool Plains,0,0,397,50
Lockhart,0,0,199,61
Maitland,0,0,10190,120
Mid-Coast,0,0,5110,54
Mid-Western Regional,0,0,2043,81
Moree Plains,0,0,609,46
Mosman,0,0,6451,208
Murray River,0,0,196,16
Murrumbidgee,0,0,195,50
Muswellbrook,0,0,1001,61
Nambucca,0,0,1018,51
Narrabri,0,0,537,41
Narrandera,0,0,234,40
Narromine,0,0,394,60
Newcastle,0,0,19429,117
North Sydney,3,0,12948,173
Northern Beaches,3,0,61658,225
Oberon,0,0,343,63
Orange,0,0,4957,117
Parkes,0,0,806,54
Parramatta,20,1,43650,170
Penrith,9,2,34642,163
Port Macquarie-Hastings,0,0,6520,77
Port Stephens,0,0,5992,82
Queanbeyan-Palerang Regional,0,0,3459,57
Randwick,61,5,76152,489
Richmond Valley,0,0,1217,52
Ryde,2,0,29342,224
Shellharbour,0,0,10342,141
Shoalhaven,0,0,9730,92
Singleton,0,0,1919,82
Snowy Monaro Regional,0,0,1702,82
Snowy Valleys,0,0,847,58
Strathfield,11,1,11976,255
Sutherland Shire,21,7,54932,238
Sydney,36,6,76791,312
Tamworth Regional,0,0,5412,87
Temora,0,0,230,36
Tenterfield,0,0,156,24
The Hills Shire,14,0,40947,230
Tweed,0,0,4542,47
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,888,63
Upper Lachlan Shire,0,0,645,80
Uralla,0,0,297,49
Wagga Wagga,0,0,6368,98
Walcha,0,0,253,81
Walgett,0,0,268,45
Warren,0,0,275,102
Warrumbungle Shire,0,0,532,57
Waverley,83,3,45723,615
Weddin,0,0,191,53
Wentworth,0,0,422,60
Willoughby,3,0,12096,149
Wingecarribee,0,0,7052,138
Wollondilly,1,1,5454,103
Wollongong,4,0,32142,147
Woollahra,22,1,31567,532
Yass Valley,0,0,879,51
NSW Total**,1227,223,1459639,178
