Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,3995,74
Armidale Regional,0,0,2107,68
Ballina,0,0,3010,67
Balranald,0,0,101,43
Bathurst Regional,0,0,4104,94
Bayside,37,2,42588,239
Bega Valley,0,0,2138,62
Bellingen,0,0,848,65
Berrigan,0,0,242,28
Blacktown,16,5,54727,146
Bland,0,0,309,52
Blayney,0,0,611,83
Blue Mountains,1,0,14843,188
Bogan,0,0,105,41
Bourke,0,0,327,126
Brewarrina,0,0,54,34
Broken Hill,0,0,900,51
Burwood,6,2,6676,164
Byron,0,0,2538,72
Cabonne,0,0,701,51
Camden,8,1,27458,271
Campbelltown,12,1,29924,175
Canada Bay,7,0,21713,226
Canterbury-Bankstown,126,28,64275,170
Carrathool,0,0,97,35
Central Coast,3,0,43384,126
Central Darling,0,0,75,41
Cessnock,0,0,3232,54
Clarence Valley,0,0,2134,41
Cobar,0,0,181,39
Coffs Harbour,0,0,4458,58
Coolamon,0,0,290,67
Coonamble,0,0,256,65
Cootamundra-Gundagai Regional,0,0,784,70
Cowra,0,0,727,57
Cumberland,39,14,44572,185
Dubbo Regional,0,0,4361,81
Dungog,0,0,554,59
Edward River,0,0,353,39
Eurobodalla,0,0,2674,70
Fairfield,426,105,57749,273
Federation,0,0,619,50
Forbes,0,0,461,47
Georges River,44,4,32469,204
Gilgandra,0,0,214,50
Glen Innes Severn,0,0,323,36
Goulburn Mulwaree,0,0,2915,94
Greater Hume Shire,0,0,651,60
Griffith,0,0,2236,83
Gunnedah,0,0,734,58
Gwydir,0,0,153,29
Hawkesbury,4,0,10428,155
Hay,0,0,154,52
Hilltops,0,0,1231,66
Hornsby,3,0,22287,147
Hunters Hill,1,0,6292,420
Inner West,6,2,47533,237
Inverell,0,0,817,48
Junee,0,0,302,45
Kempsey,0,0,1808,61
Kiama,0,0,3505,150
Ku-Ring-Gai,1,0,28599,225
Kyogle,0,0,319,36
Lachlan,0,0,221,36
Lake Macquarie,0,0,22369,109
Lane Cove,0,0,15077,375
Leeton,0,0,618,54
Lismore,0,0,2668,61
Lithgow,0,0,1293,60
Liverpool,84,19,37982,167
Liverpool Plains,0,0,385,49
Lockhart,0,0,191,58
Maitland,0,0,9898,116
Mid-Coast,0,0,4967,53
Mid-Western Regional,0,0,1997,79
Moree Plains,0,0,605,46
Mosman,0,0,6423,207
Murray River,0,0,189,16
Murrumbidgee,0,0,188,48
Muswellbrook,0,0,968,59
Nambucca,0,0,993,50
Narrabri,0,0,520,40
Narrandera,0,0,225,38
Narromine,0,0,392,60
Newcastle,0,0,19239,116
North Sydney,3,0,12983,173
Northern Beaches,3,0,59601,218
Oberon,0,0,334,62
Orange,0,0,4929,116
Parkes,0,0,784,53
Parramatta,19,1,42417,165
Penrith,9,2,32367,152
Port Macquarie-Hastings,0,0,6399,76
Port Stephens,0,0,5913,80
Queanbeyan-Palerang Regional,0,0,3417,56
Randwick,59,4,76367,491
Richmond Valley,0,0,1191,51
Ryde,2,0,29123,222
Shellharbour,0,0,9832,134
Shoalhaven,0,0,9471,90
Singleton,0,0,1828,78
Snowy Monaro Regional,0,0,1648,79
Snowy Valleys,0,0,834,58
Strathfield,11,1,11826,252
Sutherland Shire,21,6,53368,231
Sydney,36,7,76322,310
Tamworth Regional,0,0,5220,83
Temora,0,0,219,35
Tenterfield,0,0,150,23
The Hills Shire,14,0,39630,223
Tweed,0,0,4427,46
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,870,61
Upper Lachlan Shire,0,0,625,78
Uralla,0,0,288,48
Wagga Wagga,0,0,6316,97
Walcha,0,0,245,78
Walgett,0,0,263,44
Warren,0,0,270,100
Warrumbungle Shire,0,0,517,56
Waverley,82,3,47432,638
Weddin,0,0,181,50
Wentworth,0,0,388,55
Willoughby,3,0,12094,149
Wingecarribee,0,0,6819,133
Wollondilly,1,1,5063,95
Wollongong,4,0,31414,144
Woollahra,22,1,32659,550
Yass Valley,0,0,820,48
NSW Total**,1125,212,1417612,173
