Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,3756,69
Armidale Regional,0,0,2027,66
Ballina,0,0,3074,69
Balranald,0,0,84,36
Bathurst Regional,0,0,3864,89
Bayside,32,0,39324,220
Bega Valley,0,0,2019,59
Bellingen,0,0,806,62
Berrigan,0,0,231,26
Blacktown,7,1,47511,127
Bland,0,0,296,50
Blayney,0,0,573,78
Blue Mountains,0,0,12899,163
Bogan,0,0,100,39
Bourke,0,0,318,123
Brewarrina,0,0,45,28
Broken Hill,0,0,853,49
Burwood,6,2,6137,151
Byron,0,0,2451,70
Cabonne,0,0,673,49
Camden,7,0,21413,211
Campbelltown,11,0,25862,151
Canada Bay,6,0,20620,215
Canterbury-Bankstown,102,21,56769,150
Carrathool,0,0,79,28
Central Coast,3,0,38270,111
Central Darling,0,0,63,34
Cessnock,0,0,2959,49
Clarence Valley,0,0,2006,39
Cobar,0,0,173,37
Coffs Harbour,0,0,4160,54
Coolamon,0,0,272,63
Coonamble,0,0,221,56
Cootamundra-Gundagai Regional,0,0,686,61
Cowra,0,0,683,54
Cumberland,26,7,37278,154
Dubbo Regional,0,0,4299,80
Dungog,0,0,499,53
Edward River,0,0,283,31
Eurobodalla,0,0,2505,65
Fairfield,280,70,26207,124
Federation,0,0,585,47
Forbes,0,0,450,45
Georges River,35,4,28361,178
Gilgandra,0,0,215,51
Glen Innes Severn,0,0,312,35
Goulburn Mulwaree,0,0,2259,73
Greater Hume Shire,0,0,588,55
Griffith,0,0,2160,80
Gunnedah,0,0,700,55
Gwydir,0,0,144,27
Hawkesbury,4,0,7743,115
Hay,0,0,101,34
Hilltops,0,0,1144,61
Hornsby,3,0,21134,139
Hunters Hill,1,0,6009,401
Inner West,4,1,45178,225
Inverell,0,0,838,50
Junee,0,0,273,41
Kempsey,0,0,1636,55
Kiama,0,0,3237,138
Ku-Ring-Gai,1,0,27052,213
Kyogle,0,0,309,35
Lachlan,0,0,194,32
Lake Macquarie,0,0,20782,101
Lane Cove,0,0,14730,367
Leeton,0,0,593,52
Lismore,0,0,2409,55
Lithgow,0,0,1130,52
Liverpool,54,7,30206,133
Liverpool Plains,0,0,374,47
Lockhart,0,0,162,49
Maitland,0,0,9204,108
Mid-Coast,0,0,4635,49
Mid-Western Regional,0,0,1793,71
Moree Plains,0,0,734,55
Mosman,0,0,6270,202
Murray River,0,0,167,14
Murrumbidgee,0,0,174,44
Muswellbrook,0,0,915,56
Nambucca,0,0,873,44
Narrabri,0,0,508,39
Narrandera,0,0,197,33
Narromine,0,0,388,60
Newcastle,0,0,18389,111
North Sydney,3,0,12631,168
Northern Beaches,2,0,55246,202
Oberon,0,0,304,56
Orange,0,0,4644,109
Parkes,0,0,773,52
Parramatta,16,1,38603,150
Penrith,7,1,25989,122
Port Macquarie-Hastings,0,0,6027,71
Port Stephens,0,0,5683,77
Queanbeyan-Palerang Regional,0,0,3248,53
Randwick,54,3,74748,480
Richmond Valley,0,0,1143,49
Ryde,2,0,27829,212
Shellharbour,0,0,8425,115
Shoalhaven,0,0,8609,81
Singleton,0,0,1629,69
Snowy Monaro Regional,0,0,1569,75
Snowy Valleys,0,0,765,53
Strathfield,10,1,10860,231
Sutherland Shire,15,3,47827,207
Sydney,34,6,72846,296
Tamworth Regional,0,0,4995,80
Temora,0,0,202,32
Tenterfield,0,0,134,20
The Hills Shire,13,0,37053,208
Tweed,0,0,4224,44
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,815,57
Upper Lachlan Shire,0,0,539,67
Uralla,0,0,283,47
Wagga Wagga,0,0,5863,90
Walcha,0,0,232,74
Walgett,0,0,256,43
Warren,0,0,259,96
Warrumbungle Shire,0,0,496,53
Waverley,80,4,48568,654
Weddin,0,0,170,47
Wentworth,0,0,341,48
Willoughby,3,0,11870,146
Wingecarribee,0,0,6028,118
Wollondilly,0,0,4254,80
Wollongong,6,0,27844,128
Woollahra,22,1,32672,550
Yass Valley,0,0,771,45
NSW Total**,860,137,1272595,155
