Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,4482,82
Armidale Regional,0,0,2153,70
Ballina,0,0,2802,63
Balranald,0,0,104,44
Bathurst Regional,0,0,4285,98
Bayside,41,5,44148,247
Bega Valley,0,0,2237,65
Bellingen,0,0,855,66
Berrigan,0,0,266,30
Blacktown,25,9,63283,169
Bland,0,0,301,50
Blayney,0,0,626,85
Blue Mountains,2,0,15987,202
Bogan,0,0,110,43
Bourke,0,0,334,129
Brewarrina,0,0,64,40
Broken Hill,0,0,929,53
Burwood,6,2,6861,169
Byron,0,0,2590,74
Cabonne,0,0,887,65
Camden,7,1,31441,310
Campbelltown,13,1,34592,202
Canada Bay,7,0,21260,221
Canterbury-Bankstown,154,32,74886,198
Carrathool,0,0,118,42
Central Coast,3,0,47721,139
Central Darling,0,0,78,42
Cessnock,0,0,3491,58
Clarence Valley,0,0,2202,43
Cobar,0,0,187,40
Coffs Harbour,0,0,4548,59
Coolamon,0,0,303,70
Coonamble,0,0,256,65
Cootamundra-Gundagai Regional,0,0,812,72
Cowra,0,0,750,59
Cumberland,62,21,50804,210
Dubbo Regional,0,0,4330,81
Dungog,0,0,564,60
Edward River,0,0,391,43
Eurobodalla,0,0,2710,70
Fairfield,577,126,84229,398
Federation,0,0,693,56
Forbes,0,0,476,48
Georges River,52,5,36151,227
Gilgandra,0,0,197,46
Glen Innes Severn,0,0,314,35
Goulburn Mulwaree,0,0,3169,102
Greater Hume Shire,0,0,1043,97
Griffith,0,0,2228,82
Gunnedah,0,0,751,59
Gwydir,0,0,155,29
Hawkesbury,6,0,12303,183
Hay,0,0,181,61
Hilltops,0,0,1267,68
Hornsby,4,0,22636,149
Hunters Hill,1,0,6246,417
Inner West,7,2,47145,235
Inverell,0,0,818,48
Junee,0,0,319,48
Kempsey,0,0,1924,65
Kiama,0,0,3548,152
Ku-Ring-Gai,0,0,28840,227
Kyogle,0,0,340,39
Lachlan,0,0,235,39
Lake Macquarie,0,0,23173,113
Lane Cove,1,1,15020,374
Leeton,0,0,639,56
Lismore,0,0,2703,62
Lithgow,0,0,1355,63
Liverpool,108,19,47623,209
Liverpool Plains,0,0,393,50
Lockhart,0,0,205,62
Maitland,0,0,10625,125
Mid-Coast,0,0,5189,55
Mid-Western Regional,0,0,2052,81
Moree Plains,0,0,572,43
Mosman,0,0,6510,210
Murray River,0,0,207,17
Murrumbidgee,0,0,206,53
Muswellbrook,0,0,972,59
Nambucca,0,0,1017,51
Narrabri,0,0,517,39
Narrandera,0,0,241,41
Narromine,0,0,392,60
Newcastle,0,0,19457,118
North Sydney,3,0,12793,171
Northern Beaches,4,0,62441,228
Oberon,0,0,349,64
Orange,0,0,4923,116
Parkes,0,0,964,65
Parramatta,23,4,44518,173
Penrith,9,2,37246,175
Port Macquarie-Hastings,0,0,6523,77
Port Stephens,0,0,6055,82
Queanbeyan-Palerang Regional,0,0,3514,58
Randwick,61,5,74367,478
Richmond Valley,0,0,1368,58
Ryde,1,0,29512,225
Shellharbour,0,0,10801,147
Shoalhaven,0,0,9773,93
Singleton,0,0,1982,84
Snowy Monaro Regional,0,0,1720,83
Snowy Valleys,0,0,822,57
Strathfield,11,1,12375,264
Sutherland Shire,24,7,56602,245
Sydney,36,6,74745,303
Tamworth Regional,0,0,5218,83
Temora,0,0,230,36
Tenterfield,0,0,159,24
The Hills Shire,14,0,41971,236
Tweed,0,0,4829,50
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,860,61
Upper Lachlan Shire,0,0,667,83
Uralla,0,0,289,48
Wagga Wagga,0,0,6522,100
Walcha,0,0,252,80
Walgett,0,0,265,45
Warren,0,0,273,101
Warrumbungle Shire,0,0,518,56
Waverley,77,3,41460,558
Weddin,0,0,190,53
Wentworth,0,0,432,61
Willoughby,3,0,12251,151
Wingecarribee,1,0,7416,145
Wollondilly,1,1,6089,115
Wollongong,4,2,32601,149
Woollahra,22,2,28972,488
Yass Valley,0,0,855,50
NSW Total**,1384,258,1515838,185
