Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,4338,80
Armidale Regional,0,0,2205,72
Ballina,0,0,3066,69
Balranald,0,0,106,45
Bathurst Regional,0,0,4253,98
Bayside,38,3,44270,248
Bega Valley,0,0,2274,66
Bellingen,0,0,875,67
Berrigan,0,0,263,30
Blacktown,21,10,61456,164
Bland,0,0,315,53
Blayney,0,0,628,85
Blue Mountains,2,0,15938,201
Bogan,0,0,109,42
Bourke,0,0,338,131
Brewarrina,0,0,63,39
Broken Hill,0,0,912,52
Burwood,6,2,6816,168
Byron,0,0,2607,74
Cabonne,0,0,712,52
Camden,7,1,30634,302
Campbelltown,13,1,33592,197
Canada Bay,7,0,21785,227
Canterbury-Bankstown,149,33,70610,187
Carrathool,0,0,118,42
Central Coast,3,0,46723,136
Central Darling,0,0,78,42
Cessnock,0,0,3468,58
Clarence Valley,0,0,2249,44
Cobar,0,0,189,41
Coffs Harbour,0,0,4608,60
Coolamon,0,0,307,71
Coonamble,0,0,260,66
Cootamundra-Gundagai Regional,0,0,834,74
Cowra,0,0,777,61
Cumberland,55,16,49176,204
Dubbo Regional,0,0,4395,82
Dungog,0,0,578,61
Edward River,0,0,401,44
Eurobodalla,0,0,2746,71
Fairfield,542,122,76391,361
Federation,0,0,670,54
Forbes,0,0,473,48
Georges River,48,4,35639,223
Gilgandra,0,0,209,49
Glen Innes Severn,0,0,325,37
Goulburn Mulwaree,0,0,3125,100
Greater Hume Shire,0,0,1000,93
Griffith,0,0,2288,85
Gunnedah,0,0,780,62
Gwydir,0,0,161,30
Hawkesbury,6,0,12069,179
Hay,0,0,180,61
Hilltops,0,0,1303,70
Hornsby,4,0,22939,151
Hunters Hill,1,0,6395,427
Inner West,7,2,47940,239
Inverell,0,0,845,50
Junee,0,0,315,47
Kempsey,0,0,1933,65
Kiama,0,0,3661,157
Ku-Ring-Gai,0,0,29302,230
Kyogle,0,0,343,39
Lachlan,0,0,236,39
Lake Macquarie,0,0,23437,114
Lane Cove,1,1,15268,380
Leeton,0,0,639,56
Lismore,0,0,2727,62
Lithgow,0,0,1367,63
Liverpool,98,20,44166,194
Liverpool Plains,0,0,403,51
Lockhart,0,0,206,63
Maitland,0,0,10714,126
Mid-Coast,0,0,5234,56
Mid-Western Regional,0,0,2086,83
Moree Plains,0,0,610,46
Mosman,0,0,6533,211
Murray River,0,0,205,17
Murrumbidgee,0,0,206,53
Muswellbrook,0,0,1008,62
Nambucca,0,0,1039,52
Narrabri,0,0,535,41
Narrandera,0,0,247,42
Narromine,0,0,396,61
Newcastle,0,0,19765,119
North Sydney,3,0,13006,173
Northern Beaches,4,0,63014,230
Oberon,0,0,343,63
Orange,0,0,5024,118
Parkes,0,0,809,55
Parramatta,21,2,44435,173
Penrith,9,2,36788,173
Port Macquarie-Hastings,0,0,6687,79
Port Stephens,0,0,6154,84
Queanbeyan-Palerang Regional,0,0,3512,57
Randwick,61,4,75832,487
Richmond Valley,0,0,1393,59
Ryde,1,0,29721,226
Shellharbour,0,0,10570,144
Shoalhaven,0,0,9853,93
Singleton,0,0,1975,84
Snowy Monaro Regional,0,0,1734,83
Snowy Valleys,0,0,855,59
Strathfield,11,1,12259,261
Sutherland Shire,24,8,56585,245
Sydney,37,6,77003,313
Tamworth Regional,0,0,5427,87
Temora,0,0,234,37
Tenterfield,0,0,157,24
The Hills Shire,14,0,42253,237
Tweed,0,0,4586,47
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,887,63
Upper Lachlan Shire,0,0,654,81
Uralla,0,0,299,50
Wagga Wagga,0,0,6572,101
Walcha,0,0,256,82
Walgett,0,0,269,45
Warren,0,0,278,103
Warrumbungle Shire,0,0,529,57
Waverley,80,3,43583,587
Weddin,0,0,196,54
Wentworth,0,0,428,61
Willoughby,3,0,12386,153
Wingecarribee,1,0,7258,142
Wollondilly,1,1,5866,110
Wollongong,4,2,32667,150
Woollahra,21,1,30245,509
Yass Valley,0,0,876,51
NSW Total**,1316,246,1504214,184
