Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,3768,69
Armidale Regional,0,0,2015,65
Ballina,0,0,3055,68
Balranald,0,0,81,35
Bathurst Regional,0,0,3800,87
Bayside,28,0,37230,209
Bega Valley,0,0,1973,57
Bellingen,0,0,795,61
Berrigan,0,0,229,26
Blacktown,5,1,45715,122
Bland,0,0,286,48
Blayney,0,0,576,78
Blue Mountains,0,0,12325,156
Bogan,0,0,95,37
Bourke,0,0,312,120
Brewarrina,0,0,47,29
Broken Hill,0,0,822,47
Burwood,6,2,5949,146
Byron,0,0,2368,68
Cabonne,0,0,695,51
Camden,7,0,20817,205
Campbelltown,12,0,24687,144
Canada Bay,6,0,20174,210
Canterbury-Bankstown,94,18,53740,142
Carrathool,0,0,79,28
Central Coast,3,0,36986,108
Central Darling,0,0,60,33
Cessnock,0,0,2812,47
Clarence Valley,0,0,1960,38
Cobar,0,0,176,38
Coffs Harbour,0,0,4220,55
Coolamon,0,0,266,61
Coonamble,0,0,215,54
Cootamundra-Gundagai Regional,0,0,685,61
Cowra,0,0,710,56
Cumberland,23,5,35415,147
Dubbo Regional,0,0,4419,82
Dungog,0,0,487,52
Edward River,0,0,272,30
Eurobodalla,0,0,2502,65
Fairfield,228,62,22989,109
Federation,0,0,567,46
Forbes,0,0,471,48
Georges River,32,2,26861,168
Gilgandra,0,0,212,50
Glen Innes Severn,0,0,297,33
Goulburn Mulwaree,0,0,2234,72
Greater Hume Shire,0,0,617,57
Griffith,0,0,2130,79
Gunnedah,0,0,711,56
Gwydir,0,0,147,27
Hawkesbury,3,0,7186,107
Hay,0,0,93,32
Hilltops,0,0,1168,62
Hornsby,3,0,20568,135
Hunters Hill,1,0,5860,391
Inner West,3,1,43702,218
Inverell,0,0,829,49
Junee,0,0,278,42
Kempsey,0,0,1688,57
Kiama,0,0,3264,140
Ku-Ring-Gai,1,0,26671,210
Kyogle,0,0,300,34
Lachlan,0,0,189,31
Lake Macquarie,0,0,20293,99
Lane Cove,0,0,14407,359
Leeton,0,0,563,49
Lismore,0,0,2358,54
Lithgow,0,0,1079,50
Liverpool,46,3,28624,126
Liverpool Plains,0,0,375,47
Lockhart,0,0,161,49
Maitland,0,0,8972,105
Mid-Coast,0,0,4565,49
Mid-Western Regional,0,0,1769,70
Moree Plains,0,0,838,63
Mosman,0,0,6162,199
Murray River,0,0,161,13
Murrumbidgee,0,0,168,43
Muswellbrook,0,0,879,54
Nambucca,0,0,896,45
Narrabri,0,0,489,37
Narrandera,0,0,195,33
Narromine,0,0,388,60
Newcastle,0,0,18129,109
North Sydney,3,0,12379,165
Northern Beaches,0,0,54042,198
Oberon,0,0,302,56
Orange,0,0,4529,107
Parkes,0,0,771,52
Parramatta,15,1,37415,145
Penrith,7,1,24323,114
Port Macquarie-Hastings,0,0,5954,70
Port Stephens,0,0,5565,76
Queanbeyan-Palerang Regional,0,0,3163,52
Randwick,53,3,73186,470
Richmond Valley,0,0,988,42
Ryde,2,0,27179,207
Shellharbour,0,0,8242,113
Shoalhaven,0,0,8582,81
Singleton,0,0,1600,68
Snowy Monaro Regional,0,0,1540,74
Snowy Valleys,0,0,745,51
Strathfield,10,1,10481,223
Sutherland Shire,14,2,44613,193
Sydney,32,7,70532,286
Tamworth Regional,0,0,4937,79
Temora,0,0,199,32
Tenterfield,0,0,132,20
The Hills Shire,13,0,36240,204
Tweed,0,0,4157,43
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,802,57
Upper Lachlan Shire,0,0,541,67
Uralla,0,0,278,46
Wagga Wagga,0,0,5896,90
Walcha,0,0,229,73
Walgett,0,0,231,39
Warren,0,0,264,98
Warrumbungle Shire,0,0,484,52
Waverley,79,6,47921,645
Weddin,0,0,165,46
Wentworth,0,0,349,49
Willoughby,3,0,11622,143
Wingecarribee,0,0,5932,116
Wollondilly,0,0,4224,79
Wollongong,6,0,27620,127
Woollahra,22,1,32220,543
Yass Valley,0,0,758,44
NSW Total**,766,117,1231880,150
