Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,4965,91
Armidale Regional,0,0,2192,71
Ballina,0,0,2748,62
Balranald,0,0,210,90
Bathurst Regional,0,0,6029,138
Bayside,56,7,42369,237
Bega Valley,0,0,2050,59
Bellingen,0,0,1034,80
Berrigan,0,0,316,36
Blacktown,130,49,91967,246
Bland,0,0,296,50
Blayney,0,0,1812,246
Blue Mountains,2,0,15218,192
Bogan,0,0,108,42
Bourke,0,0,171,66
Brewarrina,0,0,67,42
Broken Hill,0,0,1259,72
Burwood,10,4,7146,176
Byron,0,0,2827,81
Cabonne,1,0,1926,141
Camden,7,5,32630,322
Campbelltown,45,20,41317,242
Canada Bay,3,0,19153,199
Canterbury-Bankstown,398,143,141393,374
Carrathool,0,0,150,54
Central Coast,7,0,53333,155
Central Darling,0,0,96,52
Cessnock,0,0,3670,61
Clarence Valley,0,0,2589,50
Cobar,0,0,225,48
Coffs Harbour,0,0,7478,97
Coolamon,0,0,308,71
Coonamble,0,0,261,66
Cootamundra-Gundagai Regional,0,0,1158,103
Cowra,0,0,1020,80
Cumberland,221,70,75795,314
Dubbo Regional,0,0,4561,85
Dungog,0,0,538,57
Edward River,0,0,490,54
Eurobodalla,0,0,2484,65
Fairfield,824,210,152192,719
Federation,0,0,913,73
Forbes,0,0,627,63
Georges River,87,12,43107,270
Gilgandra,0,0,221,52
Glen Innes Severn,0,0,316,36
Goulburn Mulwaree,1,1,3663,118
Greater Hume Shire,0,0,1275,118
Griffith,0,0,2040,75
Gunnedah,0,0,670,53
Gwydir,0,0,178,33
Hawkesbury,6,0,15099,224
Hay,0,0,186,63
Hilltops,0,0,1331,71
Hornsby,6,0,20790,137
Hunters Hill,1,0,5393,360
Inner West,17,6,42997,214
Inverell,0,0,818,48
Junee,0,0,313,47
Kempsey,0,0,2120,71
Kiama,0,0,3274,140
Ku-Ring-Gai,1,0,25589,201
Kyogle,0,0,357,41
Lachlan,0,0,290,48
Lake Macquarie,0,0,22799,111
Lane Cove,2,2,13323,332
Leeton,0,0,653,57
Lismore,0,0,3055,70
Lithgow,0,0,1565,72
Liverpool,172,59,89268,392
Liverpool Plains,0,0,336,43
Lockhart,0,0,252,77
Maitland,0,0,10666,125
Mid-Coast,0,0,5501,59
Mid-Western Regional,0,0,2105,83
Moree Plains,0,0,517,39
Mosman,0,0,4760,154
Murray River,0,0,231,19
Murrumbidgee,0,0,228,58
Muswellbrook,0,0,1099,67
Nambucca,0,0,1444,73
Narrabri,0,0,495,38
Narrandera,0,0,248,42
Narromine,0,0,377,58
Newcastle,0,0,17765,107
North Sydney,0,0,10471,140
Northern Beaches,23,4,77218,282
Oberon,0,0,415,77
Orange,0,0,11998,283
Parkes,0,0,1546,104
Parramatta,64,28,47726,186
Penrith,17,5,46496,218
Port Macquarie-Hastings,0,0,6236,74
Port Stephens,0,0,5326,72
Queanbeyan-Palerang Regional,0,0,3546,58
Randwick,44,5,55906,359
Richmond Valley,0,0,1787,76
Ryde,6,2,26827,204
Shellharbour,0,0,12514,171
Shoalhaven,0,0,9355,89
Singleton,1,0,2127,91
Snowy Monaro Regional,0,0,1564,75
Snowy Valleys,0,0,824,57
Strathfield,17,5,14508,309
Sutherland Shire,33,7,58359,253
Sydney,31,10,66167,269
Tamworth Regional,0,0,4735,76
Temora,0,0,258,41
Tenterfield,0,0,177,27
The Hills Shire,18,4,42810,241
Tweed,0,0,5901,61
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,782,55
Upper Lachlan Shire,0,0,644,80
Uralla,0,0,276,46
Wagga Wagga,0,0,6489,99
Walcha,0,0,177,56
Walgett,0,0,305,51
Warren,0,0,319,118
Warrumbungle Shire,0,0,487,52
Waverley,49,6,24065,324
Weddin,0,0,259,72
Wentworth,0,0,910,129
Willoughby,4,1,10727,132
Wingecarribee,2,1,8140,159
Wollondilly,2,2,8631,162
Wollongong,9,4,35830,164
Woollahra,8,2,17473,294
Yass Valley,0,0,797,47
NSW Total**,2340,679,1756619,215
