Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,5227,96
Armidale Regional,0,0,2401,78
Ballina,0,0,2856,64
Balranald,0,0,206,88
Bathurst Regional,0,0,6449,148
Bayside,49,7,43152,242
Bega Valley,0,0,2300,67
Bellingen,0,0,1114,86
Berrigan,0,0,326,37
Blacktown,85,29,74325,198
Bland,0,0,340,57
Blayney,0,0,1695,230
Blue Mountains,2,0,17049,215
Bogan,0,0,123,48
Bourke,0,0,276,107
Brewarrina,0,0,74,46
Broken Hill,0,0,1209,69
Burwood,10,3,6937,171
Byron,0,0,2804,80
Cabonne,1,0,1834,135
Camden,4,3,31412,310
Campbelltown,19,5,39508,231
Canada Bay,4,0,19896,207
Canterbury-Bankstown,291,90,116824,309
Carrathool,0,0,144,51
Central Coast,7,0,51896,151
Central Darling,0,0,100,54
Cessnock,0,0,3875,65
Clarence Valley,0,0,2753,53
Cobar,0,0,237,51
Coffs Harbour,0,0,7715,100
Coolamon,0,0,329,76
Coonamble,0,0,274,69
Cootamundra-Gundagai Regional,0,0,1215,108
Cowra,0,0,1052,83
Cumberland,163,47,62268,258
Dubbo Regional,0,0,5034,94
Dungog,0,0,624,66
Edward River,0,0,495,54
Eurobodalla,0,0,2875,75
Fairfield,742,173,128737,608
Federation,0,0,888,71
Forbes,0,0,662,67
Georges River,74,18,40932,257
Gilgandra,0,0,233,55
Glen Innes Severn,0,0,375,42
Goulburn Mulwaree,0,0,3645,117
Greater Hume Shire,0,0,1310,122
Griffith,0,0,2295,85
Gunnedah,0,0,793,63
Gwydir,0,0,182,34
Hawkesbury,6,0,14315,213
Hay,0,0,196,66
Hilltops,0,0,1451,78
Hornsby,4,0,21413,141
Hunters Hill,1,0,5599,374
Inner West,11,3,45114,225
Inverell,0,0,914,54
Junee,0,0,338,51
Kempsey,0,0,2283,77
Kiama,0,0,3674,157
Ku-Ring-Gai,1,0,26661,210
Kyogle,0,0,380,43
Lachlan,0,0,308,51
Lake Macquarie,0,0,24971,121
Lane Cove,1,1,13732,342
Leeton,0,0,731,64
Lismore,0,0,3041,70
Lithgow,0,0,1687,78
Liverpool,140,37,76027,334
Liverpool Plains,0,0,420,53
Lockhart,0,0,245,75
Maitland,0,0,11720,138
Mid-Coast,0,0,5663,60
Mid-Western Regional,0,0,2299,91
Moree Plains,0,0,548,41
Mosman,0,0,5416,175
Murray River,0,0,241,20
Murrumbidgee,0,0,233,59
Muswellbrook,0,0,1186,72
Nambucca,0,0,1575,80
Narrabri,0,0,552,42
Narrandera,0,0,260,44
Narromine,0,0,423,65
Newcastle,0,0,19876,120
North Sydney,2,0,11284,150
Northern Beaches,10,0,72757,266
Oberon,0,0,454,84
Orange,0,0,11340,267
Parkes,0,0,1587,107
Parramatta,46,17,45948,179
Penrith,13,2,42869,201
Port Macquarie-Hastings,0,0,7115,84
Port Stephens,0,0,6127,83
Queanbeyan-Palerang Regional,0,0,3847,63
Randwick,46,4,63187,406
Richmond Valley,0,0,1758,75
Ryde,4,1,27334,208
Shellharbour,0,0,12131,166
Shoalhaven,0,0,10564,100
Singleton,0,0,2261,96
Snowy Monaro Regional,0,0,1814,87
Snowy Valleys,0,0,921,64
Strathfield,16,3,13455,287
Sutherland Shire,28,10,58034,252
Sydney,30,11,69107,281
Tamworth Regional,0,0,5373,86
Temora,0,0,278,44
Tenterfield,0,0,175,27
The Hills Shire,14,1,41664,234
Tweed,0,0,5833,60
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,922,65
Upper Lachlan Shire,0,0,694,86
Uralla,0,0,324,54
Wagga Wagga,0,0,6995,107
Walcha,0,0,218,70
Walgett,0,0,318,53
Warren,0,0,339,126
Warrumbungle Shire,0,0,565,61
Waverley,60,6,28102,378
Weddin,0,0,257,71
Wentworth,0,0,902,128
Willoughby,4,1,11190,138
Wingecarribee,2,1,8102,158
Wollondilly,1,1,7475,141
Wollongong,7,3,35254,162
Woollahra,11,1,19891,335
Yass Valley,0,0,932,55
NSW Total**,1921,483,1682629,206
