Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,3872,71
Armidale Regional,0,0,2051,67
Ballina,0,0,2997,67
Balranald,0,0,91,39
Bathurst Regional,0,0,4069,93
Bayside,34,2,41357,232
Bega Valley,0,0,2093,61
Bellingen,0,0,833,64
Berrigan,0,0,245,28
Blacktown,14,4,51627,138
Bland,0,0,297,50
Blayney,0,0,602,82
Blue Mountains,0,0,14069,178
Bogan,0,0,99,38
Bourke,0,0,326,126
Brewarrina,0,0,52,32
Broken Hill,0,0,883,51
Burwood,6,2,6433,158
Byron,0,0,2495,71
Cabonne,0,0,699,51
Camden,8,1,25814,254
Campbelltown,12,1,28062,164
Canada Bay,7,0,21213,221
Canterbury-Bankstown,115,24,61218,162
Carrathool,0,0,81,29
Central Coast,3,0,41030,119
Central Darling,0,0,72,39
Cessnock,0,0,3170,53
Clarence Valley,0,0,2099,41
Cobar,0,0,171,37
Coffs Harbour,0,0,4415,57
Coolamon,0,0,285,66
Coonamble,0,0,248,63
Cootamundra-Gundagai Regional,0,0,726,65
Cowra,0,0,709,56
Cumberland,30,9,41897,173
Dubbo Regional,0,0,4239,79
Dungog,0,0,539,57
Edward River,0,0,329,36
Eurobodalla,0,0,2625,68
Fairfield,368,83,45299,214
Federation,0,0,599,48
Forbes,0,0,463,47
Georges River,43,6,30766,193
Gilgandra,0,0,215,51
Glen Innes Severn,0,0,323,36
Goulburn Mulwaree,0,0,2750,88
Greater Hume Shire,0,0,594,55
Griffith,0,0,2217,82
Gunnedah,0,0,726,57
Gwydir,0,0,144,27
Hawkesbury,4,0,9409,140
Hay,0,0,122,41
Hilltops,0,0,1187,63
Hornsby,3,0,21716,143
Hunters Hill,1,0,6150,411
Inner West,5,1,46793,233
Inverell,0,0,834,49
Junee,0,0,296,44
Kempsey,0,0,1790,60
Kiama,0,0,3371,144
Ku-Ring-Gai,1,0,27868,219
Kyogle,0,0,316,36
Lachlan,0,0,214,35
Lake Macquarie,0,0,21788,106
Lane Cove,0,0,14901,371
Leeton,0,0,621,54
Lismore,0,0,2620,60
Lithgow,0,0,1179,55
Liverpool,67,9,34976,154
Liverpool Plains,0,0,378,48
Lockhart,0,0,179,54
Maitland,0,0,9722,114
Mid-Coast,0,0,4887,52
Mid-Western Regional,0,0,1946,77
Moree Plains,0,0,610,46
Mosman,0,0,6371,206
Murray River,0,0,181,15
Murrumbidgee,0,0,182,46
Muswellbrook,0,0,936,57
Nambucca,0,0,972,49
Narrabri,0,0,524,40
Narrandera,0,0,216,37
Narromine,0,0,393,60
Newcastle,0,0,18979,115
North Sydney,3,0,12847,171
Northern Beaches,3,0,57569,210
Oberon,0,0,320,59
Orange,0,0,4853,114
Parkes,0,0,765,52
Parramatta,19,1,41156,160
Penrith,9,2,29510,139
Port Macquarie-Hastings,0,0,6232,74
Port Stephens,0,0,5821,79
Queanbeyan-Palerang Regional,0,0,3396,56
Randwick,59,4,75537,485
Richmond Valley,0,0,1169,50
Ryde,2,0,28564,218
Shellharbour,0,0,9388,128
Shoalhaven,0,0,9119,86
Singleton,0,0,1755,75
Snowy Monaro Regional,0,0,1613,78
Snowy Valleys,0,0,798,55
Strathfield,11,1,11365,242
Sutherland Shire,21,6,51246,222
Sydney,35,6,75085,305
Tamworth Regional,0,0,5175,83
Temora,0,0,217,34
Tenterfield,0,0,150,23
The Hills Shire,15,0,38696,217
Tweed,0,0,4380,45
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,852,60
Upper Lachlan Shire,0,0,613,76
Uralla,0,0,289,48
Wagga Wagga,0,0,6103,94
Walcha,0,0,237,76
Walgett,0,0,256,43
Warren,0,0,267,99
Warrumbungle Shire,0,0,500,54
Waverley,80,4,47544,640
Weddin,0,0,175,48
Wentworth,0,0,373,53
Willoughby,3,0,11888,146
Wingecarribee,0,0,6564,128
Wollondilly,1,1,4730,89
Wollongong,5,0,30216,139
Woollahra,22,1,32458,547
Yass Valley,0,0,821,48
NSW Total**,1017,169,1359861,166
